comuna_nombre,fecha,fk_comuna,fk_localidad,fk_region,funcionamiento_dia,funcionamiento_hora_apertura,funcionamiento_hora_cierre,local_direccion,local_id,local_lat,local_lng,local_nombre,local_telefono,localidad_nombre
CALERA DE TANGO,2021-06-28,84,103,7,lunes,09:00:00,21:00:00,CALERA DE TANGO 593-B. PARADERO 9. LOCAL 3,766,-33.629789,-70.762771,CALERA DE TANGO,+560228551067,CALERA DE TANGO
CERRILLOS,2021-06-28,85,104,7,lunes,09:00:00,21:00:00,AMERICO VESPUCIO 2500. INTERIOR LIDER,771,-33.518821,-70.707453,AHUMADA,+560225397251,CERRILLOS
COLINA,2021-06-28,87,106,7,lunes,08:00:00,07:59:00,CARRETERA GENERAL SAN MARTIN 071. L-A,808,-33.204707,-70.675653,SAN MARTIN,+560228441341,COLINA
CONCHALI,2021-06-28,88,107,7,lunes,09:00:00,21:00:00,CARDENAL JOSE MARIA CARO 1771. INTERIOR SANTA ISABEL,817,-33.373601,-70.681658,CRUZ VERDE,+560226230404,CONCHALI
CURACAVI,2021-06-28,89,108,7,lunes,09:00:00,21:00:00,AMBROSIO O'HIGGINS   1793,830,-33.403179,-71.131006,ESMERALDA,+560228353335,CURACAVI
ESTACION CENTRAL,2021-06-28,92,111,7,lunes,08:00:00,07:59:00,AV. GLADYS MARIN MILLIE 6997,874,-33.467524,-70.730906,ESPOZ,+5602228701938,ESTACION CENTRAL
LA GRANJA,2021-06-28,98,117,7,lunes,09:00:00,21:00:00,AV. LA SERENA 10297,1019,-33.550386,-70.617838,CRUZ VERDE,+560225469490,LA GRANJA
LA PINTANA,2021-06-28,99,118,7,lunes,09:00:00,21:00:00,BERNARDINO PARADA 0726,1030,-33.577688,-70.65703,FARMAVECINA,+560225362187,LA PINTANA
LAMPA,2021-06-28,101,120,7,lunes,09:00:00,21:00:00,LOS HALCONES 2180,1064,-33.294326,-70.867519,SU FARMACIA,+560222587224,LAMPA
LO BARNECHEA,2021-06-28,103,122,7,lunes,08:00:00,07:59:00,AV. LA DEHESA 1445. INTERIOR PORTAL LA DEHESA,1157,-33.358348,-70.517145,SALCOBRAND,+560222160380,LO BARNECHEA
PADRE HURTADO,2021-06-28,111,130,7,lunes,09:00:00,21:00:00,SEGUNDA AVENIDA 749,1360,-33.562008,-70.795020,LOS MAQUIS,+560228114327,PADRE HURTADO
PEDRO AGUIRRE CERDA,2021-06-28,113,132,7,lunes,09:00:00,21:00:00,CERRILLOS 4030,1375,-33.481706,-70.685762,FARMAMEDDICA,+560226830524,PEDRO AGUIRRE CERDA
PUDAHUEL,2021-06-28,118,137,7,lunes,08:00:00,07:59:00,LAGUNA SUR 8405 - C,1532,-33.460071,-70.751806,TORRES,+560227492529,PUDAHUEL
PUENTE ALTO,2021-06-28,119,378,7,lunes,08:00:00,07:59:00,SAN PEDRO 848,1585,-33.623362,-70.584520,FENIX,+560228509488,PUENTE ALTO SUR
SAN MIGUEL,2021-06-28,127,146,7,lunes,08:00:00,07:59:00,GRAN AVENIDA JOSE MIGUEL CARRERA 5001 PARADERO 11,1747,-33.499427,-70.653833,AHUMADA,+560226313737,SAN MIGUEL
ARAUCO,2021-06-28,200,219,10,lunes,08:00:00,23:59:00,CAUPOLICÁN 512-A,2271,-37.2469036,-73.31810659999996,FARMAX,+56412183291,ARAUCO
BULNES,2021-06-28,201,220,16,lunes,08:00:00,23:59:00,CARLOS PALACIOS N°394,2275,-36.7433007289,-72.2979746995,ITALIA,+56422631272,BULNES
CAÑETE,2021-06-28,203,222,10,lunes,08:00:00,23:59:00,CONDELL 175,2280,-37.80582,-73.391974,CRUZ VERDE,+56412619817,CAÑETE LOCALIDAD 1
CHIGUAYANTE,2021-06-28,204,223,10,lunes,09:00:00,08:59:00,M. RODRIGUEZ 925,2286,-36.9296186186,-73.0232187786,CRUZ VERDE,+56412364476,CHIGUAYANTE LOCALIDAD 1
COELEMU,2021-06-28,208,227,16,lunes,08:00:00,23:59:00,MATTA N°600,2322,-36.487656996,-72.7045444514,SOMOS FARMACIA,+56422511045,COELEMU
CONCEPCION,2021-06-28,210,375,10,lunes,08:00:00,23:59:00,BARROS ARANA 599,2339,-36.8268765246,-73.0514960447,CRUZ VERDE,+56412252781,CONCEPCION CENTRO
TOME,2021-06-28,246,265,10,lunes,09:00:00,08:59:00,EGAÑA 1097 LOCAL 1,2369,-36.617692,-72.956681,TOME,+56412382466,TOME
CORONEL,2021-06-28,212,231,10,lunes,09:00:00,08:59:00,MANUEL MONTT 541,2389,-37.0278607106,-73.1466452867,CRUZ VERDE,+56412711554,CORONEL CENTRO
LEBU,2021-06-28,218,237,10,lunes,08:00:00,23:59:00,RIOSECO Nº 267,2409,-37.6082312686,-73.652900214,DR. SIMI,+56412511498,LEBU LOCALIDAD 1
LOTA,2021-06-28,221,240,10,lunes,09:00:00,08:59:00,PEDRO AGUIRRE CERDA 617,2416,-37.0921688828,-73.1570621122,DR. SIMI,+56412878672,LOTA
PENCO,2021-06-28,227,246,10,lunes,09:00:00,08:59:00,FREIRE 500,2419,-36.7375678733,-72.9953105082,CRUZ VERDE,+56412454189,PENCO
QUILLON,2021-06-28,232,251,16,lunes,08:00:00,23:59:00,AVDA. CAYUMANQUI N°407,2426,-36.7428280388855,-72.4740164764267,QUILLÓN,+56422581052,QUILLON
QUIRIHUE,2021-06-28,233,252,16,lunes,08:00:00,23:59:00,AVDA. ARTURO PRAT N°477 L-15,2429,-36.2831617976,-72.5451670814,FARMAX,+56422531296,QUIRIHUE
SAN CARLOS,2021-06-28,235,254,16,lunes,09:00:00,08:59:00,INDEPENDENCIA N°743,2432,-36.4234166666667,-71.9567833333333,CENTRO,+56422412142,SAN CARLOS - LOCALIDAD 1
TALCAHUANO,2021-06-28,244,263,10,lunes,09:00:00,08:59:00,"LAS AMAPOLAS 68, LOS CÓNDORES",2467,-36.7577089238,-73.092655207,REDFARMA,+56412582023,TALCAHUANO-HUALPEN CENTRO
YUNGAY,2021-06-28,250,269,16,lunes,08:00:00,23:59:00,ESMERALDA N°204,2481,-37.1201299259,-72.0165080757,FARMA,+56422680060,YUNGAY
YUMBEL,2021-06-28,249,268,10,lunes,08:00:00,23:59:00,O'HIGGINS 763-A,2505,-37.0989515256106,-72.5615016024431,SAN SEBASTIAN,+56432439086,YUMBEL - LOCALIDAD 1
LAJA,2021-06-28,217,236,10,lunes,08:00:00,23:59:00,BALMACEDA 151,2512,-37.2818087182585,-72.7139151022218,DR. SIMI,+5643469688,LAJA
NACIMIENTO,2021-06-28,223,242,10,lunes,08:00:00,23:59:00,SAN MARTIN 423,2521,-37.5013617584081,-72.6710203395715,COMUNITARIA CENTRAL,+56432519918,NACIMIENTO
MULCHEN,2021-06-28,222,241,10,lunes,08:00:00,23:59:00,VILLAGRAN 601,2549,-37.72186392345361,-72.24302617486876,RIOS,+56964926074,MULCHEN - LOCALIDAD 1
PUERTO MONTT,2021-06-28,311,382,13,lunes,09:00:00,21:00:00,AVDA. PRESIDENTE IBAÑEZ 173 LOCAL 1,3114,-41.4617201,-72.94411550000001,FARMACIAS CRUZ VERDE,+56652351537,SECTOR CUARTA TERRAZA
CALDERA,2021-06-28,22,78,4,lunes,09:00:00,08:59:00,COUSIÑO  N° 325,3124,-27.0676726,-70.82156559999999,FARMACIA LA BOTIKA,+5652,CALDERA
COPIAPO,2021-06-28,24,80,4,lunes,09:00:00,08:59:00,AVENIDA  LOS CARRERA N° 3356,3130,-27.386957,-70.3054267,FARMACIA CRUZ VERDE,+56522222482,COPIAPO
VALLENAR,2021-06-28,29,85,4,lunes,09:00:00,08:59:00,ARTURO PRAT N° 1040,3132,-28.5766603,-70.75910019999998,FARMACIA CRUZ VERDE,+565122618851,VALLENAR
DIEGO DE ALMAGRO,2021-06-28,25,81,4,lunes,10:00:00,22:00:00,JUAN MARTINEZ  N°1107,3155,-26.3913476,-70.04514719999997,FARMACIA SAN MARTIN,+56522449032,DIEGO DE ALMAGRO
CHAÑARAL,2021-06-28,23,79,4,lunes,09:00:00,08:59:00,RAUL BARRIONUEVO  N° 156,3159,-26.33559270469468,-70.61389949814759,FARMACIA PAEZ,+56522481455,CHAÑARAL
FUTRONO,2021-06-28,283,302,12,lunes,09:00:00,08:59:00,BALMACEDA Nº 500,3168,-40.1316666,-72.3865277777,ALBORADA,+56639481390,FUTRONO
PAILLACO,2021-06-28,292,311,12,lunes,09:00:00,08:59:00,O´HIGGINS Nº 238,3174,-40.071194,-72.87433,DEL DR. SIMI,+5663,PAILLACO
RIO BUENO,2021-06-28,293,312,12,lunes,09:00:00,08:59:00,PEDRO LAGOS Nº 601,3177,-40.33425,-72.95463888888,REDFARMA,+56632344729,RIO BUENO
PANGUIPULLI,2021-06-28,291,310,12,lunes,09:00:00,08:59:00,MARTINEZ DE ROSAS Nº 690,3184,-39.642530555556,-72.3314722222222,CRUZ VERDE,+56632530441,PANGUIPULLI
LA UNION,2021-06-28,284,303,12,lunes,09:00:00,08:59:00,ESMERALDA Nº 731,3195,-40.2945,-73.081,SALCOBRAND,+56642426153,LA UNION
VALDIVIA,2021-06-28,290,309,12,lunes,09:00:00,08:59:00,RAMÓN PICARTE Nº 343,3202,-39.8142749,-73.2449441,CRUZ VERDE,+56632344609,VALDIVIA
TEMUCO,2021-06-28,275,294,11,lunes,09:00:00,08:59:00,MANUEL MONTT 701,3214,-38.7381759,-72.59174769999998,FARMACIA SALCOBRAND,+56452237321,TEMUCO
CURANILAHUE,2021-06-28,213,232,10,lunes,08:00:00,23:59:00,RIQUELME N°751,3231,-37.4756903,-73.347294,PAGUE MENOS,+560,CURANILAHUE LOCALIDAD 1
QUELLON,2021-06-28,318,337,13,lunes,09:00:00,08:59:00,LADRILLEROS 399,3239,-43.1175146,-73.61678059999997,FARMACIA CRUZ VERDE,+560987,QUELLON
QUINCHAO,2021-06-28,320,339,13,lunes,09:00:00,08:59:00,"ARTURO PRAT 46, ACHAO",3243,-42.472032,-73.48977200000002,FARMACIA REDFARMA 104,+56652661101,QUINCHAO
DALCAHUE,2021-06-28,301,320,13,lunes,09:00:00,08:59:00,RAMÓN FREIRE 506,3244,-42.3788566,-73.6499556,FARMACIA USYDAL,+56652641727,DALCAHUE
ANCUD,2021-06-28,294,313,13,lunes,09:00:00,08:59:00,ELEUTERIO RAMÍREZ Nº 330,3257,-41.8695296,-73.8258669,FARMACIA DR SIMI,+56652621528,ANCUD
CASTRO,2021-06-28,296,315,13,lunes,09:00:00,08:59:00,SAN MARTIN 369,3265,-42.4821281,-73.76365099999998,FARMACIA SALCOBRAND,+56652533589,CASTRO
TOCOPILLA,2021-06-28,20,76,3,lunes,09:00:00,08:59:00,21 DE MAYO Nº 1685-1687,3283,-22.085578,-70.19300599999997,FARMACIA CRUZ VERDE,+56552815523,TOCOPILLA
PUERTO MONTT,2021-06-28,311,384,13,lunes,09:00:00,08:59:00,ANTONIO VARAS 875,3285,-41.4741711,-72.9472571,FARMACIA DEL DR. SIMI,+5665652313006,SECTOR CENTRO
MEJILLONES,2021-06-28,15,71,3,lunes,09:00:00,08:59:00,ALMIRANTE LATORRE N° 637,3294,-23.10000589138066,-70.44820569455624,FARMACIA FIGUESAN,+56552622038,MEJILLONES
PUERTO VARAS,2021-06-28,313,385,13,lunes,09:00:00,21:00:00,"ANDRÉS BELLO Nº304, LOCAL 1 PUERTO VARAS",3300,-41.3229566,-72.98449119999998,FARMACIA PSUYING TANG,+56652511567,SECTOR PERIFERIA
PUERTO VARAS,2021-06-28,313,332,13,lunes,09:00:00,08:59:00,"AVDA. DEL SALVADOR Nº 401 LOCAL 1 , PUERTO VARAS",3301,-41.317908,-72.9850495,FARMACIAS CRUZ VERDE,+56022694400,SECTOR CENTRO
SALAMANCA,2021-06-28,43,99,5,lunes,09:00:00,08:59:00,MANUEL BULNES 498 LOCAL 4,3315,-31.781396353687686,-70.96444150097341,CHOAPA,+56532551067,SALAMANCA
LOS MUERMOS,2021-06-28,307,326,13,lunes,09:00:00,08:59:00,ANTONIO VARAS 402 LOS MUERMOS,3322,-41.39538690384782,-73.4652328491211,FARMACIA GALENO,+56652211473,LOS MUERMOS
OSORNO,2021-06-28,309,328,13,lunes,09:00:00,08:59:00,ZENTENO 1530,3344,-40.583654,-73.1222075,FARMACIA SALCOBRAND,+56642253120,SECTOR CENTRO
LLANQUIHUE,2021-06-28,306,325,13,lunes,09:00:00,08:59:00,BAQUEDANO Nº 506  LLANQUIHUE,3351,-41.2546828,-73.0061713,FARMACIA CRUZ VERDE,+56652242666,LLANQUIHUE
POZO ALMONTE,2021-06-28,11,67,2,lunes,09:00:00,22:00:00,"COMERCIO 307, POZO ALMONTE, TARAPACA, CHILE",3356,-20.259118909311535,-69.78562562698357,FARMACIA JERUSALEN,+56572751030,POZO ALMONTE
COYHAIQUE,2021-06-28,328,347,14,lunes,09:00:00,08:59:00,ARTURO PRAT N° 307. COYHAIQUE,3367,-45.5722174,-72.070786,FARMACIAS CRUZ VERDE,+56672254362,COYHAIQUE
PICA,2021-06-28,10,66,2,lunes,09:00:00,21:00:00,BALMACEDA 272,3379,-20.4906225,-69.32795763,JERUSALEM,+56954109335,PICA
FRUTILLAR,2021-06-28,303,322,13,lunes,09:00:00,08:59:00,CARLOS RICHTER 162 FRUTILLAR,3383,-41.126514081028006,-73.05891841650009,FARMACIA FRUTILLAR,+56652421334,FRUTILLAR
ALTO HOSPICIO,2021-06-28,5,61,2,lunes,08:00:00,23:59:00,LA PAMPA 3779 LOCAL 3-4 SECTOR A 1,3418,-20.2781833,-70.09883009,ZONA VITAL,+56572730275,ALTO HOSPICIO
PURRANQUE,2021-06-28,315,334,13,lunes,09:00:00,08:59:00,PEDRO MONTT 296,3434,-40.912669,-73.159155,FARMACIA DROGUETT,+56642651296,PURRANQUE
PUNTA ARENAS,2021-06-28,339,358,15,lunes,09:00:00,08:59:00,AVENIDA ESPAÑA Nº01377-A,3446,-53.13920233408972,-70.8924150466919,AHUMADA,+560226313241,PUNTA ARENAS
PUERTO NATALES,2021-06-28,338,357,15,lunes,08:00:00,23:59:00,BULNES Nª 599,3449,-51.7333,-72.50378,AHUMADA,+56612410771,PUERTO NATALES
CALAMA,2021-06-28,13,69,3,lunes,08:00:00,07:59:00,"VIVAR Nº 1902-1912, LOCAL 1051",3454,-22.4618494,-68.92462869999997,SALCOBRAND,+56552342823,CALAMA
PADRE LAS CASAS,2021-06-28,268,287,11,lunes,09:00:00,21:00:00,HUICHAHUE Nº260,3516,"","",FARMACIA FARMAX,+5602734474,PADRE LAS CASAS
TRAIGUEN,2021-06-28,278,297,11,lunes,09:00:00,08:59:00,SANTA CRUZ Nº 813,3542,-38.24953238121404,-72.66860685901645,FARMACIA SALCOBRAND,+56452869095,TRAIGUEN
CURACAUTIN,2021-06-28,255,274,11,lunes,09:00:00,08:59:00,OHIGGINS Nº 640,3545,-38.43785510795259,-71.8898533181382,FARMACIA DR. SIMI,+56452882640,CURACAUTIN
NUEVA IMPERIAL,2021-06-28,267,286,11,lunes,09:00:00,08:59:00,A. PRAT Nº 269,3547,-38.74448016051383,-72.95282530625155,FARMACIA CRUZ VERDE,+56452613008,NUEVA IMPERIAL
CARAHUE,2021-06-28,252,271,11,lunes,09:00:00,08:59:00,LAUTARO Nº 298,3549,-38.712308210701124,-73.16674910779568,FARMACHILE,+56452652091,CARAHUE
VILLARRICA,2021-06-28,281,300,11,lunes,09:00:00,08:59:00,CAMILO HENRIQUEZ Nº288 L. 05,3558,-39.280286857359265,-72.22533528220902,SALCOBRAND,+56452416754,VILLARRICA
LAUTARO,2021-06-28,261,280,11,lunes,09:00:00,08:59:00,OHIGGINS Nº 916,3567,-38.532894340929815,-72.43522591656341,F. OHIGGINS,+56452464600,LAUTARO
PITRUFQUEN,2021-06-28,270,289,11,lunes,09:00:00,08:59:00,AV. FCO. BILBAO Nº 496,3569,-38.98635010121116,-72.63823982972326,F. CRUZ VERDE,+56452392627,PITRUFQUEN
VICUÑA,2021-06-28,44,100,5,lunes,09:00:00,23:00:00,"ARTURO PRAT 182, VICUÑA",3585,-30.0348947,-70.71215159999997,CRUZ VERDE,+560,VICUÑA
ILLAPEL,2021-06-28,34,90,5,lunes,09:00:00,08:59:00,CONSTITUCIÓN 389,3610,-31.629804143118275,-71.16384296746384,DR SIMI,+56532525267,ILLAPEL
LOS VILOS,2021-06-28,37,93,5,lunes,09:00:00,23:00:00,CAUPOLICÁN 484,3620,-31.91039926039233,-71.51027991534426,EL INDIECITO,+56532542595,LOS VILOS
OVALLE,2021-06-28,39,95,5,lunes,09:00:00,08:59:00,VICUÑA MACKENNA 184,3632,-30.6052776,-71.20723759999998,CRUZ VERDE,+56,OVALLE
GRANEROS,2021-06-28,142,161,8,lunes,09:00:00,23:59:00,AVENIDA LA COMPAÑÍA N° 028,3694,-34.068042,-70.725371,LA COMPAÑÍA,+56722471434,GRANEROS
PERALILLO,2021-06-28,155,174,8,lunes,08:00:00,23:59:00,AVENIDA ERRÁZURIZ N° 368,3700,-34.47992125533133,-71.47913727110284,PERALILLO,+56722861335,PERALILLO
PICHIDEGUA,2021-06-28,157,176,8,lunes,08:00:00,23:59:00,INDEPENDENCIA N° 562,3701,-34.35903622934217,-71.28249770052491,CUARTOCENTENARIO,+56722591329,PICHIDEGUA
DOÑIHUE,2021-06-28,141,160,8,lunes,10:00:00,20:00:00,DELFÍN CARVALLO N° 440-A,3706,-34.226307107776115,-70.96454438465577,LOURDES,+56722462617,DOÑIHUE
MARCHIGUE,2021-06-28,149,168,8,lunes,09:00:00,19:00:00,ARTURO PRAT N° 487,3708,-34.39533080152805,-71.62157200000001,FLORES,+56722831234,MARCHIGUE
NANCAGUA,2021-06-28,150,169,8,lunes,08:00:00,23:59:00,ARMANDO JARAMILLO N° 161,3710,-34.65131963151511,-71.20469064934707,PRINCIPAL,+56722859463,NANCAGUA
NAVIDAD,2021-06-28,151,170,8,lunes,09:00:00,19:00:00,JUAN MONTES ESQUINA PROGRESO S/N,3711,-33.959395,-71.829519,EKONOFARMACIA II,+567289077447,NAVIDAD
REQUINOA,2021-06-28,164,183,8,lunes,08:00:00,23:59:00,MURIALDO N° 46-A,3718,-34.298391712005724,-70.82114815041507,MAGISTRAL,+56722263645,REQUINOA
SAN FERNANDO,2021-06-28,165,184,8,lunes,09:00:00,08:59:00,MONSEÑOR LARRAÍN N° 1499,3719,-34.57369109125026,-70.99489553508346,FARMACIA FARMAS,+56722718696,SAN FERNANDO
PEUMO,2021-06-28,156,175,8,lunes,09:00:00,22:00:00,SARMIENTO N° 378,3732,-34.39270923444678,-71.16894174337767,POSTO VERDE,+56722561521,PEUMO
MACHALI,2021-06-28,147,166,8,lunes,09:00:00,23:59:00,"ARTURO PRAT N° 116, LOCAL 101",3735,-34.17880030615925,-70.65267407567137,MACHALÍ,+56722,MACHALI
RANCAGUA,2021-06-28,162,181,8,lunes,09:00:00,23:59:00,GERMÁN RIESCO N° 314,3744,-34.17048870687475,-70.73949107672115,SIBONAT,+56722241194,RANCAGUA
PICHILEMU,2021-06-28,158,177,8,lunes,08:00:00,23:59:00,ANIBAL PINTO N° 246-A,3762,-34.387368449712255,-72.00575477196656,POSTO VERDE,+56722842602,PICHILEMU
RENGO,2021-06-28,163,182,8,lunes,09:00:00,08:59:00,ARTURO PRAT N° 206-B,3764,-34.407041051957094,-70.8599258542074,DR. SIMI,+56722585739,RENGO
SANTA CRUZ,2021-06-28,168,187,8,lunes,09:00:00,08:59:00,PLAZA DE ARMAS 98,3777,-34.64054635232659,-71.36640495172588,FARMACIA CRUZ VERDE,+56722824420,SANTA CRUZ
RETIRO,2021-06-28,187,206,9,lunes,09:00:00,23:59:00,ERRAZURIZ N°24,3813,-36.0461845,-71.7561264,FARMACIA SAN LUIS,+56,RETIRO
LONGAVI,2021-06-28,179,198,9,lunes,09:00:00,23:59:00,1 NORTE N° 201,3815,-35.9658699,-71.6838455,FARMACIA EL CARMEN,+56,LONGAVI
HUALAÑE,2021-06-28,176,195,9,lunes,09:00:00,23:59:00,ARTURO PRAT N° 286,3818,-34.976145,-71.803193,FARMACIA HUALAÑÉ,+560,HUALAÑE
TENO,2021-06-28,195,214,9,lunes,09:00:00,23:59:00,AVDA. COMALLE N°147-B,3819,-34.8699799,-71.1616898,FARMACIA SAN FRANCISCO,+56,TENO
SAN JAVIER,2021-06-28,192,211,9,lunes,09:00:00,01:00:00,ARTURO PRAT N° 2464,3833,-35.5951843,-71.7320175,FARMACIA GAETE,+56,SAN JAVIER
PARRAL,2021-06-28,182,201,9,lunes,09:00:00,01:00:00,IGUALDAD N° 689-C,3843,-36.144595,-71.827077,FARMACIA DR. SIMI,+560,PARRAL
CAUQUENES,2021-06-28,169,188,9,lunes,09:00:00,01:00:00,VICTORIA N° 501,3855,-35.967629,-72.317787,FARMACIA AHUMADA,+560,CAUQUENES
SAN FRANCISCO DE MOSTAZAL,2021-06-28,166,185,8,lunes,09:00:00,08:59:00,INDEPENDENCIA N° 481,3874,-33.98085148679584,-70.71256891726279,FARMACIA NUEVA PROGRESO,+5672722491117,SAN FRANCISCO DE MOSTAZAL
CURICO,2021-06-28,174,193,9,lunes,09:00:00,08:59:00,PEÑA N° 707,3902,-34.98381683,-71.24171071,FARMACIA DR. SIMI,+56,CURICO CENTRO
OLMUE,2021-06-28,63,24,6,lunes,09:00:00,21:00:00,DIEGO PORTALES Nº 2090,3979,-32.9964333131758,-71.1865612917775,SALCOBRAND,+563264079001,OLMUE
RECOLETA,2021-06-28,122,141,7,lunes,08:00:00,07:59:00,A. AMERICO VESPUCIO 680. LOCAL 01. INTERIOR STRIP CENTER,3987,-33.380121,-70.647222,CRUZ VERDE,+560226944000,RECOLETA
PAINE,2021-06-28,112,131,7,lunes,09:00:00,21:00:00,DIEGO PORTALES 58. LOTE 2. LOCALIDAD DE HOSPITAL,3998,-33.867351,-70.747239,HYGEIA,+56,PAINE
LAS CABRAS,2021-06-28,144,163,8,lunes,08:00:00,23:59:00,"GRAL. JOSE MIGUEL CARRERA 460, LAS CABRAS",4034,-34.29094382283825,-71.30895728711988,DR. SIMI,+56722501437,LAS CABRAS
AYSEN,2021-06-28,324,343,14,lunes,09:00:00,08:59:00,SARGENTO ALDEA 1070 PUERTO AYSEN,4070,-45.40438450000001,-72.6946926,FARMACIA CRUZ VERDE,+56672330289,AYSEN
LLAY LLAY,2021-06-28,60,18,6,lunes,09:00:00,23:00:00,BALMACEDA N°393,4086,-32.8414462874015,-70.9560721264244,DR. SIMI,+56342612220,LLAY - LLAY
QUILICURA,2021-06-28,120,139,7,lunes,08:00:00,07:59:00,"ARANJUEZ PONIENTE 399, VALLE LO CAMPINO",4094,-33.3835543,-70.7238878,MACPHARMA,+560,QUILICURA
MARIQUINA,2021-06-28,289,308,12,lunes,09:00:00,08:59:00,MARIQUINA Nº 1295,4140,-39.538861,-72.962722,INTEGRAL,+5663,MARIQUINA
TALTAL,2021-06-28,19,75,3,lunes,09:00:00,08:59:00,"PRAT Nº 785, TALTAL",4381,-25.4054866,-70.4824276,FARMACIA FARMAPLUSS,+56552612199,TALTAL
